Question Number,Question Type,Question Text,option a,option b,option c,option d,Max Marks
1 (Stem),Long Essay,"A 60 year old health care worker contracted a URTI while posted in the respiratory ICU. O/E febrile-102 F, Pulse-110/min, tachypnea, auscultation showed rhonchi and wheeze over the lung fields with features suggestive of ARDS. CXR showed ground glass opacities. The suspected pathogen is known to exhibit antigenic variation referred to as Shift & Drift.",,,,,0
1.A,Long Essay,Explain the sequence of events involved in the pathogenesis of Infection.,,,,,3
1.B,Long Essay,Discuss the Laboratory diagnosis of the agent associated with the clinical condition.,,,,,3
1.C,Long Essay,Discuss the Immunoprophylactic measures available to combat this condition.,,,,,3
1.D,Long Essay,The patient develops bacterial pneumonia during recovery. Give reason.,,,,,1
2 (Stem),Long Essay,"A 25 year old male presented with a painless ulcer on the external genitalia since 2 weeks. No h/o discharge/ burning micturition. H/o exposure with stranger 4 weeks back. O/E- a single, indurated ulcer on the glans penis. Non tender-bilateral inguinal lymphadenopathy seen.",,,,,0
2.A,Long Essay,Mention the bacterial agents causing Sexually transmitted infections.,,,,,2
2.B,Long Essay,Discuss the pathogenesis & the clinical sequelae if the infection is associated with the pathogen shown in the picture.,,,,,4
2.C,Long Essay,Mention the Specific Serological tests for the diagnosis & Explain any one in detail.,,,,,3
2.D,Long Essay,Neonates with Congenital syphilis may be asymptomatic at birth. Give reason.,,,,,1
3,Short Essay,Discuss the Clinical features and laboratory diagnosis of Cerebral Malaria.,,,,,5 (2+3)
4,Short Essay,Clinical features and laboratory diagnosis of Trichomoniasis.,,,,,5 (2+3)
5,Short Essay,Clinical features and Laboratory diagnosis of Human Anthrax.,,,,,5 (2+3)
6,Short Essay,Discuss the Lab diagnosis of Human Rabies.,,,,,5 (2+3)
7,Short Essay,Discuss detection of Drug resistant Pulmonary Tuberculosis & its implications.,,,,,5 (2+3)
8,Short Essay,Discuss the Clinical features and laboratory diagnosis of Cryptococcal Meningitis.,,,,,5 (2+3)
9,Short Answer,Care-bundle approach in prevention of VAP.,,,,,3
10,Short Answer,Group B Streptococci.,,,,,3
11,Short Answer,Draw a neatly labelled diagram of the Hydatid cyst,,,,,3
12,Short Answer,Endemic Haematuria.,,,,,3
13,Short Answer,DPT Vaccine.,,,,,3
14,Short Answer,Aspergilloma.,,,,,3
15,Short Answer,Dimorphic fungi in CNS infections.,,,,,3
16,Short Answer,NS1 Antigen.,,,,,3
17,Short Answer,Specimen collection & storage in bacterial meningitis.,,,,,3
18,Short Answer,Informed consent,,,,,3
MCQ 1,MCQ,The infection surveillance officer had to calculate the CAUTI rates...,1,2,5,10,1
MCQ 2,MCQ,A 45 old diabetic with end stage renal disease presented with complaints of eye & facial pain...,Rhinosporidiosis,Rhinocerebral Mucormycosis,Dermatomycoses,Invasive Aspergillosis,1
MCQ 3,MCQ,Assertion and Reasoning: A 55 yr old alcoholic develops pneumonia with copious “Currant jelly sputum”...,Both A and R are true & R is correct,Both A and R are true & but R is not correct,A is True but R is False,A is False but R is True,1
MCQ 4,MCQ,Multiple Completion type: Which of the following are key antigens used in IGRA Test?,"Only if 1,2 &3 are correct",Only if 1&3 are correct,Only if 2&4 are correct,All four are correct,1
MCQ 5,MCQ,A 40 year old male presented to the medical OPD with high grade fever with petechial rashes...,"OX-2, OX-19, OX-K","Somatic-O, Flagellar-H , Capsular-Vi","Proteins-M,T,R","A60, LAM",1
MCQ 6,MCQ,Multiple completion type: 1. BCG is a Live Attenuated vaccine...,"Only if 1,2 &3 are correct",Only if 1&3 are correct,Only if 2&4 are correct,All four are correct,1
MCQ 7,MCQ,The component of Covishield vaccine which serves as a vector...,Attenuated measles virus,Adenovirus,Lentivirus,Lipid nanoparticle,1
